ID,Time,Prompt,year,L2type,International,Major,Major_category,Age,L1,citizenship,Gender,Age_of_onset,Years_of_studying_En_numbers,ESL_experience,Eng_immersion,Proficiency_test,Prof_test_comment,RunSpanScore,RunSpanTotal,NC_RT,NCWd_RT,NC_score2,RCNb_RT,RCNd_RT,RC_score2,NC_AC,NCWd_AC,RCNb_AC,RCDd_AC,GK_Score,GM_form_1,VC1_raw,VC1_ESS,R1_raw,R1_ESS,W1_WCPM,W1_intro,W1_body,W1_concl,W1_organi,W1_topic,W1_gramm,W1_voice,W1_word,W1_sentence,W1
1,8/29/2017,Competition,1st,international,yes,Computer Science,"Science, Math, and Technology",18,Russian,Russia,Male,15,3,No,1,Yes,IELTS 7.5,10,35,854.8181818,928.8421053,0.086596103,473.1,561.8,0.187486789,19,17,20,20,18,S,13,512,18,531,18.7,2.5,3,3.5,3.5,3,3.5,3,3.5,2.5,3
2,8/30/2017,Competition,1st,international,yes,Criminal Justice,Social Sciences,18,Shona,Zimbabwe,Female,1,17,Yes,15,No,,44,58,848.25,1046.75,0.2340112,543.9,527.05,-0.03097996,20,20,19,20,20,S,37,593,40,589,50.2,3.5,2,1.5,1.5,2.5,4.5,3.5,3.5,4.5,2.5
3,8/30/2017,Competition,1st,international,yes,Biology,"Science, Math, and Technology",18,Vietnamese,Vietnamese,Female,9,9,No,1,No,,22,32,756.75,891.15,0.177601586,487.5,640.4,0.313641026,20,18,20,20,17,S,20,536,27,555,39,2.5,3.5,2.5,3.5,2.5,3,3.5,3,2.5,3.5
4,8/31/2017,Competition,1st,international,yes,Hospitality Administration,Social Sciences,18,Vietnamese,Vietnam,Female,6,12,No,1,Yes,7.5,22,43,886.7,957.6,0.0799594,490.1,531.65,0.084778617,18,20,20,20,17,S,27,558,35,575,39.4,2,4,2.5,4,4.5,4.5,4.5,4.5,4.5,4
5,9/1/2017,Competition,1st,international,yes,Business,Business,21,French,France,Female,9,12,No,1,Yes,TOEFL iBT 86/120,32,44,761.15,952.35,0.251198844,590.6,664.3,0.124788351,19,20,20,20,17,S,25,552,41,592,27.6,3.5,3.5,4,4,4.5,3,3.5,3.5,3,3.5
6,9/1/2017,Competition,1st,international,yes,biology,"Science, Math, and Technology",18,amharic,Ethiopia,Male,4,14,Yes,13,No,,25,35,760.35,1041.1,0.369237851,468,571,0.22008547,19,19,20,20,25,S,40,606,37,580,22.8,3,3,2.5,2,2,2.5,2.5,2.5,2,2
7,9/5/2017,Competition,1st,international,yes,Managerial Science,Business,27,Chinese,China,Female,10,17,No,1,Yes,70 for TOEFL,13,28,787.9,803.1,0.019291788,654.15,619.75,-0.052587327,20,17,20,20,15,S,11,503,16,526,22.8,2.5,2.5,2,3.5,2.5,2,2.5,2,2,2
8,9/5/2017,Competition,1st,international,yes,Computer Science,"Science, Math, and Technology",19,Spanish,El Salvador,Male,4,15,No,1,No,,18,34,814.55,839.4,0.030507642,647.95,732.1,0.129871132,19,20,20,20,24,S,36,589,43,601,40.7,2,2.5,2.5,2.5,2.5,3.5,3,4.5,4.5,2.5
9,9/8/2017,Competition,1st,international,yes,Chinese Studies,Arts and Humanities,21,Italian,Italy,Male,7,14,No,1,No,,27,50,758.3,895.9,0.181458526,548.45,628.4,0.145774455,20,20,20,20,23,S,37,593,44,608,39,3,3.5,4.5,4.5,3.5,4.5,2.5,3.5,4.5,3.5
10,9/8/2017,Competition,1st,international,yes,Computer Science,"Science, Math, and Technology",18,arabic,syria,Female,5,13,No,1,Yes,7,39,51,738.85,920.5263158,0.245890662,465.15,518.75,0.115231646,20,19,20,20,16,S,23,546,31,564,30,3.5,3,4,3.5,3.5,4.5,3.5,4.5,3.5,3.5
