discourse_boundary,discourse_part,discourse_text,adjudicated_discourse_type,adjudicated_effectiveness,adjudicated_hierarchical,adjudicated_parallel,jialiwang_discourse_type_boundary,jialiwang_effectiveness(f_27),jialiwang_hierarchical,jialiwang_parallel,mthomas145_discourse_type_boundary,mthomas145_effectiveness(f_27),mthomas145_hierarchical,mthomas145_parallel
"(0, 112)",s1p1,Advancements in the world take time and effort. There is a balance or mixture of the two that would become ideal.,"Lead (0, 148)",1,"s1p1|Final_Claim|150,242",-,"Nonannotated (0, 112)",-,-,-,"Nonannotated (0, 148)",-,-,-
"(114, 148)",s1p1,"If I had to choose between the two,","Nonannotated (0, 148)",-,-,-,"Final_Claim (114, 242)",3,-,-,"Nonannotated (0, 148)",-,-,-
"(150, 242)",s1p1,I would say that competition drives success and new innovations in comparison to cooperation.,"Final_Claim (150, 242)",3,-,-,"Final_Claim (114, 242)",3,-,-,"Final_Claim (150, 242)",3,-,-
"(244, 415)",s1p1,"Even though a group of people may be able to achieve more than a single person, competition brings motivation and that is what makes new inventions and jumps in technology.","Primary_Claim (244, 415)",3,"s1p1|Final_Claim|150,242","s1p1|Primary_Claim|1887,1963","Data (244, 515)",2,"s1p1|Final_Claim|114,242","s1p1|Data|1487,1885; s1p1|Data|1887,2262","Primary_Claim (244, 415)",3,"s1p1|Final_Claim|150,242","s1p1|Primary_Claim|1887,1963"
"(417, 515)",s1p1,Cooperation without any competition makes a person lazy and there is nothing to drive them forward.,"Data (417, 784)",2,"s1p1|Primary_Claim|244,415","s1p1|Data|1115,1406; s1p1|Data|1408,1885; s1p1|Data|786,1113","Data (244, 515)",2,"s1p1|Final_Claim|114,242","s1p1|Data|1487,1885; s1p1|Data|1887,2262","Data (417, 515)",2,"s1p1|Primary_Claim|244,415","s1p1|Data|1115,1406; s1p1|Data|1408,1799; s1p1|Data|1801,1885; s1p1|Data|517,784; s1p1|Data|786,1113"
"(517, 624)",s1p1,The whole idea of free market economy that everyone is so found of in America is a gleaming example of this.,"Data (417, 784)",2,"s1p1|Primary_Claim|244,415","s1p1|Data|1115,1406; s1p1|Data|1408,1885; s1p1|Data|786,1113","Primary_Claim (517, 624)",3,"s1p1|Final_Claim|114,242","s1p1|Primary_Claim|1044,1113; s1p1|Primary_Claim|1115,1141","Data (517, 784)",3,"s1p1|Primary_Claim|244,415","s1p1|Data|1115,1406; s1p1|Data|1408,1799; s1p1|Data|1801,1885; s1p1|Data|417,515; s1p1|Data|786,1113"
"(626, 784)",s1p1,Businesses and made successful because of this. They are all competing to created something better or produce at a cheaper price in order to become successful.,"Data (417, 784)",2,"s1p1|Primary_Claim|244,415","s1p1|Data|1115,1406; s1p1|Data|1408,1885; s1p1|Data|786,1113","Data (626, 784)",2,"s1p1|Primary_Claim|517,624",-,"Data (517, 784)",3,"s1p1|Primary_Claim|244,415","s1p1|Data|1115,1406; s1p1|Data|1408,1799; s1p1|Data|1801,1885; s1p1|Data|417,515; s1p1|Data|786,1113"
"(786, 1042)",s1p1,"Athletes better themselves in order to become that number one, whether it be at a school, country, or even the world. Would the gold metal Olympian be that good at a sport or in that good of a shape if he or she would not have to try and best everyone else?","Data (786, 1113)",2,"s1p1|Primary_Claim|244,415","s1p1|Data|1115,1406; s1p1|Data|1408,1885; s1p1|Data|417,784","Data (786, 1042)",2,-,-,"Data (786, 1113)",2,"s1p1|Primary_Claim|244,415","s1p1|Data|1115,1406; s1p1|Data|1408,1799; s1p1|Data|1801,1885; s1p1|Data|417,515; s1p1|Data|517,784"
"(1044, 1113)",s1p1,That is an example of physical achievements but there are many others.,"Data (786, 1113)",2,"s1p1|Primary_Claim|244,415","s1p1|Data|1115,1406; s1p1|Data|1408,1885; s1p1|Data|417,784","Primary_Claim (1044, 1113)",2,"s1p1|Final_Claim|114,242","s1p1|Primary_Claim|1115,1141; s1p1|Primary_Claim|517,624","Data (786, 1113)",2,"s1p1|Primary_Claim|244,415","s1p1|Data|1115,1406; s1p1|Data|1408,1799; s1p1|Data|1801,1885; s1p1|Data|417,515; s1p1|Data|517,784"
"(1115, 1141)",s1p1,The space race for example.,"Data (1115, 1406)",3,"s1p1|Primary_Claim|244,415","s1p1|Data|1408,1885; s1p1|Data|417,784; s1p1|Data|786,1113","Primary_Claim (1115, 1141)",2,"s1p1|Final_Claim|114,242","s1p1|Primary_Claim|1044,1113; s1p1|Primary_Claim|517,624","Data (1115, 1406)",3,"s1p1|Primary_Claim|244,415","s1p1|Data|1408,1799; s1p1|Data|1801,1885; s1p1|Data|417,515; s1p1|Data|517,784; s1p1|Data|786,1113"
