ID,Prompt,element,product_process_ratio,chars_process_per_min_incl_space,chars_process_per_min_excl_space,mean_process_time_in_p_burst_pt200,mean_typed_chars_in_p_burst_pt200,mean_pause_time_in_seconds_pt200,proportion_of_pause_time_pt200,mean_process_time_in_p_burst_pt1000,mean_typed_chars_in_p_burst_pt1000,mean_pause_time_in_seconds_pt1000,proportion_of_pause_time_pt1000,mean_process_time_in_p_burst_pt2000,mean_typed_chars_in_p_burst_pt2000,mean_pause_time_in_seconds_pt2000,proportion_of_pause_time_pt2000,mean_pause_time_sec_within_words_pt200,mean_pause_time_sec_between_words_pt200,mean_pause_time_sec_between_sentences_pt200,mean_pause_time_sec_within_words_pt1000,mean_pause_time_sec_between_words_pt1000,mean_pause_time_sec_between_sentences_pt1000,mean_pause_time_sec_within_words_pt2000,mean_pause_time_sec_between_words_pt2000,mean_pause_time_sec_between_sentences_pt2000,proportion_of_pause_time_within_words_pt200,proportion_of_pause_time_within_words_pt1000,proportion_of_pause_time_within_words_pt2000,proportion_of_pause_time_between_words_pt200,proportion_of_pause_time_between_words_pt1000,proportion_of_pause_time_between_words_pt2000,proportion_of_pause_time_between_sentences_pt200,proportion_of_pause_time_between_sentences_pt1000,proportion_of_pause_time_between_sentences_pt2000
1,Competition,Data,0.88482835,46.26565684,37.76788314,2.035282918,1.569395018,0.786283929,0.384951772,17.59736923,13.56923077,4.100746032,0.225861558,34.66148485,26.72727273,6.857354839,0.18584771,0.356771863,1.280295455,1.0706,1.668333333,2.621779412,2.21,2.352,3.96957377,3.566,0.082032367,0.013126962,0.006168754,0.147748483,0.155863333,0.211695979,0.009359791,0.007728428,0.012470395
1,Competition,FinalClaim,0.864473684,20.21312107,16.63884966,5.291440217,1.782608696,1.080371585,0.203063808,46.36309524,15.61904762,7.01905,0.144183849,88.51136364,29.81818182,12.7853,0.131316472,0.538,1.611,0.948,7.131,3.412,2.744,19.257,3.412,2.744,0.04807395,0.021972525,0.019778662,0.077768135,0.140177173,0.140177173,0.001947362,0.005636667,0.005636667
1,Competition,PrimaryClaim,0.992,11.95928011,10.11191164,9.493753846,1.892307692,0.642666667,0.06561075,102.849,20.5,5.326,0.034523103,123.4188,24.6,6.736,0.032747037,0.353948718,1.777066667,0,2.376,8.916,0,2.376,8.916,0,0.022369364,0.003850305,0.003850305,0.043196012,0.028896732,0.028896732,0,0,0
2,Competition,Data,0.796610169,55.97740663,47.24872628,2.749556522,2.565217391,0.409535088,0.147650688,79.04975,73.75,2.911666667,0.027625008,105.3996667,98.33333333,3.5355,0.0223625,0.321,0.712,0.456,0,2.095,1.832,0,3.536,0,0.04974399,0,0,0.092321608,0.218643955,0.022365662,0.00144213,0.00579382,0
2,Competition,FinalClaim,0.826923077,51.76125123,43.54912964,2.940329268,2.536585366,0.395111111,0.132737747,60.27675,52,1.952,0.024287972,120.5535,104,2.888,0.011978084,0.375,0.45,0,2.888,0,0,2.888,0,0,0.055991738,0.011978084,0.011978084,0.046659782,0,0,0,0,0
3,Competition,Data,0.842198582,49.94491589,41.66551675,2.335674216,1.944250871,0.611781469,0.261016636,15.58926744,12.97674419,1.928297619,0.120817318,46.23024138,38.48275862,3.199481481,0.06443461,0.42195102,1.126235294,0.54225,1.460882353,2.460022901,1.80775,2.46,3.128232877,2.368,0.077108804,0.018524223,0.007339575,0.128527602,0.240373334,0.170332601,0.001617839,0.005393544,0.001766272
3,Competition,FinalClaim,0.830872483,52.53299647,44.69225073,1.962136752,1.717948718,0.700456897,0.353935619,10.435,9.136363636,2.12747619,0.194611665,22.957,20.1,3.271444444,0.12825282,0.365,1.809,1.652,1.328,3.364,1.652,0,4.106,0,0.084266237,0.011569456,0,0.165478939,0.293069652,0.232512959,0.007196062,0.007196062,0
3,Competition,PrimaryClaim,0.975206612,5.117840445,4.337152919,24.27010526,2.070175439,0.541272727,0.021519507,153.7106667,13.11111111,1.953142857,0.009882926,276.6792,23.6,3.005333333,0.006517295,0.3005,1.0558,0,1,2.18975,0,0,3.16,0,0.006516572,0.000722859,0,0.011447915,0.00633152,0.004568468,0,0,0
4,Competition,Data,0.816977724,25.63359411,21.29392618,3.705512008,1.58309318,0.742447115,0.200170424,30.859504,13.184,3.625362903,0.116539786,56.72702941,24.23529412,5.540477612,0.096232785,0.321,1.342,0.764,1.641,2.474,1.721,3.004,4.622,0,0.042856165,0.003828707,0.00155751,0.084191632,0.1154445,0.037144343,0.00178253,0.002676906,0
4,Competition,FinalClaim,0.838709677,2.609262883,2.248633054,27.46004854,1.194174757,0.502421569,0.01811882,353.548125,15.375,2.177142857,0.005388234,707.09625,30.75,3.232,0.003428105,0.456,0.952,0,2.284,3.68,0,3.008,3.68,0,0.009834588,0.003230112,0.002127009,0.005721993,0.001301096,0.001301096,0,0,0
